Constituency/Ward,2013,2017,2022,page,Homa Bay Arujo,11,12,Offence,col_2,col_3,col_4,col_5,col_6,2023,col_8,col_9,col_10,col_11,col_12,Probation,col_7,col_13,col_14,col_15,Community Service,Aftercare,Number,col_1,col_0,col_16,col_17,col_18,Type of Offence,Theft by servant,0,2021
,,,,274,,,,,3,4,9,2,1,,11,,,,,,0,,,,,,113,2,Theft by servant,,,,,,,
,,,,274,,,,,38,29,14,4,1,,6,,,,,,0,,,,,,46,21,Vehicle and other thefts,,,,,,,
,,,,274,,,,,0,0,16,10,6,,8,,,,,,6,,,,,,68,0,Dangerous drugs,,,,,,,
,,,,274,,,,,17,14,0,0,0,,12,,,,,,0,,,,,,126,25,Traffic offences,,,,,,,
,,,,274,,,,,21,24,8,24,6,,10,,,,,,5,,,,,,30,28,Criminal damage,,,,,,,
,,,,274,,,,,0,0,4,8,4,,8,,,,,,6,,,,,,0,0,Economic crimes,,,,,,,
,,,,274,,,,,0,0,0,0,0,,0,,,,,,0,,,,,,165,0,Offences involving police officers,,,,,,,
,,,,274,,,,,36,32,10,49,4,,8,,,,,,2,,,,,,0,24,Other penal code offences,,,,,,,
,,,,274,,,,,196 0,185 0,138 0,312 0,122 0,,166 0,,,,,,108 0,,,,,,"1,544",317 0,Total Piracy,,,,,,,
,,,,274,,,,,,,,,,,,,,,,,,,,,,,,,Source: Kenya Police Service,,,,,,,
,,,,275,,,,,,,,,,,,,,,,,2020,2021,,,,,Type of Offence,2019,,,,,,,,
,,,,275,,,,,,,Persons With Disability,,,,,,Persons With Disability,,,,Persons Without Disability,Persons Without Disability,,,,,,Persons Without Disability,,Persons With Disability,,,,,,
,,,,275,,,,,Female,Total,Male,Female,Total,,Female,Total,Male,Female,Total,,Male,Male,Female,Total,,,,Male,,Male,Female,Total,,,,
,,,,275,,,,,,,,,,,,,,,,,,,,,,,Against morality,,,,,,,,,
,,,,275,,,,,,2,,,3,,,1,,,0,,,,,3,,,,,,,,0,,,,
,,,,275,,,,,1,28,0,3,30,,1,28,0,0,0,,0,0,3,32,,,Rape,1,,0,0,0,,,,
,,,,275,,,,,28,2,0,30,1,,28,1,0,0,0,,0,0,32,1,,,Defilement,1,,0,0,0,,,,
,,,,275,,,,,1,0,0,1,0,,1,0,0,0,0,,0,0,1,0,,,Incest,1,,0,0,0,,,,
,,,,275,,,,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,Unnatural/sodomy,0,,0,0,0,,,,
,,,,275,,,,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,Bestiality,0,,0,0,0,,,,
,,,,275,,,,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,Indecent assault,0,,0,0,0,,,,
,,,,275,,,,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,Abduction,0,,0,0,0,,,,
,,,,275,,,,,0,34,0,0,34,,0,0,0,0,0,,0,0,0,0,,,Sub- total Bigamy,0,,0,0,0,,,,
,,,,275,,,,,,,0,34,,,0,,0,0,,,0,0,0,,,,Other offences against persons 3 30,,,0,0,,,,,
,,,,275,,,,,,54,,,0,,,62,,,0,,,,,47,,,,,,,,0,,,,
,,,,275,,,,,12,18,0,0,0,,12,23,0,0,0,,50,40,7,14,,,Assault,42,,0,0,0,,,,
,,,,275,,,,,6,0,0,0,0,,3,0,0,0,0,,20,10,4,0,,,Creating disturbance,12,,,,0,,,,
,,,,275,,,,,0,72,0,0,0,,0,85,0,0,0,,0,0,0,61,,,Affray (scuffle),0,,0,0,0,,,,
,,,,275,,,,,18 18,72,0 0,0,0,,15 15,85,0 0,0 0,0,,70 70,50 50,11 11,61,,,Total Sub- total,54 54,,0 0,0 0,0,,,,
,,,,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Persons Without Disability,275,,,,,,,Persons With Disability,,,Persons Without Disability,,,Persons With Disability,,,,,,,,,,,,,,,,,,,
,,,Male,275,,,,,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,,,,,,,,,,,,,,,,,
,,,,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Against morality,,,
,,,,275,,,,,,6,,,0,,,6,,,0,,,,,,,,,,,,,,,,,
,,,0,275,,,,,6,30,0,0,0,0,6,28,0,0,0,,,,,,,,,,,,,,Rape,,,
,,,0,275,,,,,30,1,0,0,0,0,28,3,0,,,,,,,,,,,,,,,,Defilement,,,
,,,Persons Without Disability,276,,,,,,,Persons With Disability,,,Persons Without Disability,,,Persons With Disability,,,,,,,,,,,,,,,,,,,
,,,Male,276,,,,,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,,,,,,,,,,,,,,,,,
,,,,276,,,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
,,,0,276,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Unnatural/sodomy,,,
,,,0,276,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Bestiality,,,
,,,0,276,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Indecent assault,,,
,,,0,276,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Abduction,,,
,,,0,276,,,,,0,37,0,0,0,0,0,37,0,0,0,,,,,,,,,,,,,,Sub- total Bigamy,,,
,,,0,276,,,,,37,,0,0,,0,37,,0,0,,,,,,,,,,,,,,,Other offences against persons,,,
,,,,276,,,,,,75,,,0,,,67,,,0,,,,,,,,,,,,,,,,,
,,,60,276,,,,,15,24,0,0,0,50,17,20,0,0,0,,,,,,,,,,,,,,Assault,,,
,,,20,276,,,,,4,0,0,,0,15,5,0,0,0,0,,,,,,,,,,,,,,Creating disturbance,,,
,,,0,276,,,,,0,99,0,,0,0,0,87,0,0,0,,,,,,,,,,,,,,Affray (scuffle),,,
,,,80 80,276,,,,,19 19,99,0 0,0 0,0,65 65,22 22,87,0 0,0 0,0,,,,,,,,,,,,,,Total Sub- total,,,
,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Source: Kenya Police Service,,,
,,,,276,,,,,,,,,,,,,,,,,2020,,,,,,Type of Offence,2019,,,,,,,,
,,,,276,,,,,,,Persons With Disability,,,,,,Persons With Disability,,,,Persons Without Disability,,,,,,,Persons Without Disability,,,,,,,,
